plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1i,1,6.3,n,n,n,
1i,1,3.2,n,n,n,
1i,1,0.8,y,n,n,
1i,1,0.9,y,n,n,
1i,1,1.3,y,n,n,
1i,1,5.9,n,n,n,
1i,1,6.4,n,n,n,
1i,1,1.5,y,n,n,
1i,1,4.5,n,n,n,
1i,1,3.7,n,n,n,
1i,1,1,y,n,n,
1i,2,4.1,n,n,n,
1i,2,5.5,n,n,n,
1i,2,6.5,n,n,n,
1i,2,1.8,y,n,n,
1i,2,2.1,y,n,n,
1i,2,2.7,n,n,n,
1i,2,0.9,y,n,n,
1i,3,1.5,y,n,n,
1i,3,2.9,y,n,n,
1i,3,0.8,y,n,n,
1i,3,6,n,n,n,
1i,3,3.5,n,n,n,
1i,3,1,y,n,n,
1i,3,0.8,y,n,n,
1i,3,0.8,y,n,n,
1i,3,2.7,n,n,n,
1i,3,2.3,n,n,n,
1i,3,1.3,n,n,n,
1i,3,3.6,n,n,n,
1i,4,0.4,y,n,n,
1i,4,4.4,n,n,n,
1i,4,2.2,n,n,n,
1i,4,5.7,n,n,n,
1i,4,5.3,n,n,n,
1i,4,1.9,y,n,n,
1i,4,3.5,n,n,n,
1i,5,1.1,y,n,n,
1i,5,4.8,n,n,n,
1i,5,3.5,n,n,n,
1i,5,0.4,y,n,n,
1i,5,7.7,n,n,n,
1i,5,1,y,n,n,
1i,6,1.1,n,n,n,
1i,6,3.4,n,n,n,
1i,6,0.9,y,n,n,
1i,6,1.6,n,n,n,
1i,6,3.5,n,n,n,
1i,6,0.5,y,n,n,
1i,6,0.8,n,n,n,
1i,7,2.7,n,n,n,
1i,7,3.8,n,n,n,
1i,7,3.8,n,n,n,
1i,7,2.1,y,n,n,
1i,7,4.8,n,n,n,
1i,7,0.9,y,n,n,
1i,8,1.6,y,n,n,
1i,8,5.4,n,n,n,
1i,8,2.7,y,n,n,
1i,8,1,y,n,n,
1i,8,1.7,y,n,n,
1i,8,4.1,n,n,n,
1i,8,2,n,n,n,
1i,9,6.6,n,n,n,
1i,9,1.7,y,n,n,
1i,10,2.1,n,n,n,
1i,10,2.6,n,n,n,
1i,10,4.3,n,n,n,
1i,10,1.1,n,n,n,
1i,10,2.7,n,n,n,
1i,10,1,n,n,n,
1i,10,1.7,n,n,n,
1i,10,1.8,n,n,n,
1j,1,0.9,y,n,n,
1j,1,4.3,n,n,n,
1j,1,0.7,n,n,n,
1j,1,2.5,y,n,n,
1j,1,2.9,n,n,n,
1j,1,0.5,n,n,n,
1j,2,2.7,y,n,n,
1j,2,4.1,y,n,n,
1j,2,5.2,n,n,n,
